"","time","sim.num","s.num","i.num","r.num","num","si.flow","ir.flow"
"74",74,500,4.22222222222222,334.444444444444,161.333333333333,500,0.222222222222222,2.55555555555556
"75",75,500,3.66666666666667,330.666666666667,165.666666666667,500,0.555555555555555,4.33333333333333
"76",76,500,3.33333333333333,328.555555555556,168.111111111111,500,0.333333333333333,2.44444444444444
"77",77,500,3,325.333333333333,171.666666666667,500,0.333333333333333,3.55555555555556
"78",78,500,2.77777777777778,322.222222222222,175,500,0.222222222222222,3.33333333333333
"79",79,500,2.44444444444444,318.444444444444,179.111111111111,500,0.333333333333333,4.11111111111111
"80",80,500,2.33333333333333,315.555555555556,182.111111111111,500,0.111111111111111,3
"81",81,500,2.22222222222222,313.444444444444,184.333333333333,500,0.111111111111111,2.22222222222222
"82",82,500,1.88888888888889,311.222222222222,186.888888888889,500,0.333333333333333,2.55555555555556
"83",83,500,1.44444444444444,308.777777777778,189.777777777778,500,0.444444444444444,2.88888888888889
"84",84,500,1.22222222222222,306.222222222222,192.555555555556,500,0.222222222222222,2.77777777777778
"85",85,500,0.888888888888889,304.111111111111,195,500,0.333333333333333,2.44444444444444
"86",86,500,0.666666666666667,301.666666666667,197.666666666667,500,0.222222222222222,2.66666666666667
"87",87,500,0.666666666666667,299.444444444444,199.888888888889,500,0,2.22222222222222
"88",88,500,0.666666666666667,297.222222222222,202.111111111111,500,0,2.22222222222222
"89",89,500,0.666666666666667,295.333333333333,204,500,0,1.88888888888889
"90",90,500,0.666666666666667,292.222222222222,207.111111111111,500,0,3.11111111111111
"91",91,500,0.666666666666667,288.222222222222,211.111111111111,500,0,4
"92",92,500,0.555555555555555,285.111111111111,214.333333333333,500,0.111111111111111,3.22222222222222
"93",93,500,0.555555555555555,282.111111111111,217.333333333333,500,0,3
"94",94,500,0.555555555555555,278.666666666667,220.777777777778,500,0,3.44444444444444
"95",95,500,0.444444444444444,276.666666666667,222.888888888889,500,0.111111111111111,2.11111111111111
"96",96,500,0.444444444444444,273.666666666667,225.888888888889,500,0,3
"97",97,500,0.444444444444444,271.222222222222,228.333333333333,500,0,2.44444444444444
"98",98,500,0.444444444444444,268.111111111111,231.444444444444,500,0,3.11111111111111
"99",99,500,0.222222222222222,265.666666666667,234.111111111111,500,0.222222222222222,2.66666666666667
"100",100,500,0.222222222222222,262.888888888889,236.888888888889,500,0,2.77777777777778
"101",101,500,0.222222222222222,260.444444444445,239.333333333333,500,0,2.44444444444444
"102",102,500,0.111111111111111,258.333333333333,241.555555555556,500,0.111111111111111,2.22222222222222
"103",103,500,0.111111111111111,255.888888888889,244,500,0,2.44444444444444
"104",104,500,0.111111111111111,253.666666666667,246.222222222222,500,0,2.22222222222222
"105",105,500,0.111111111111111,250.777777777778,249.111111111111,500,0,2.88888888888889
"106",106,500,0.111111111111111,247.888888888889,252,500,0,2.88888888888889
"107",107,500,0.111111111111111,245.222222222222,254.666666666667,500,0,2.66666666666667
"108",108,500,0.111111111111111,243,256.888888888889,500,0,2.22222222222222
"109",109,500,0.111111111111111,239.777777777778,260.111111111111,500,0,3.22222222222222
"110",110,500,0.111111111111111,236.777777777778,263.111111111111,500,0,3
"111",111,500,0.111111111111111,235.111111111111,264.777777777778,500,0,1.66666666666667
"112",112,500,0.111111111111111,232.555555555556,267.333333333333,500,0,2.55555555555556
"113",113,500,0,230.444444444444,269.555555555556,500,0.111111111111111,2.22222222222222
"114",114,500,0,227.888888888889,272.111111111111,500,0,2.55555555555556
"115",115,500,0,226.666666666667,273.333333333333,500,0,1.22222222222222
"116",116,500,0,224.555555555556,275.444444444444,500,0,2.11111111111111
"117",117,500,0,222.555555555556,277.444444444444,500,0,2
"118",118,500,0,220.444444444444,279.555555555556,500,0,2.11111111111111
"119",119,500,0,219.333333333333,280.666666666667,500,0,1.11111111111111
"120",120,500,0,216.777777777778,283.222222222222,500,0,2.55555555555556
"121",121,500,0,214,286,500,0,2.77777777777778
"122",122,500,0,211.111111111111,288.888888888889,500,0,2.88888888888889
"123",123,500,0,209.777777777778,290.222222222222,500,0,1.33333333333333
"124",124,500,0,207.666666666667,292.333333333333,500,0,2.11111111111111
"125",125,500,0,206.111111111111,293.888888888889,500,0,1.55555555555556
"126",126,500,0,203.111111111111,296.888888888889,500,0,3
"127",127,500,0,200.333333333333,299.666666666667,500,0,2.77777777777778
"128",128,500,0,198.777777777778,301.222222222222,500,0,1.55555555555556
"129",129,500,0,197.444444444444,302.555555555556,500,0,1.33333333333333
"130",130,500,0,195.111111111111,304.888888888889,500,0,2.33333333333333
"131",131,500,0,193.666666666667,306.333333333333,500,0,1.44444444444444
