"","time","sim.num","sim.num.g2","s.num","i.num","r.num","num","s.num.g2","i.num.g2","r.num.g2","num.g2","si.flow","si.flow.g2","ir.flow","ir.flow.g2"
"35",35,250,250,77.8888888888889,100.666666666667,71.4444444444445,250,42.7777777777778,183.666666666667,23.5555555555556,250,7.66666666666667,6.33333333333333,6.77777777777778,1.33333333333333
"36",36,250,250,70.5555555555556,103,76.4444444444444,250,38.2222222222222,186.333333333333,25.4444444444444,250,7.33333333333333,4.55555555555556,5,1.88888888888889
"37",37,250,250,64.7777777777778,102.555555555556,82.6666666666667,250,33,190,27,250,5.77777777777778,5.22222222222222,6.22222222222222,1.55555555555556
"38",38,250,250,59.5555555555556,103.222222222222,87.2222222222222,250,28.6666666666667,192.666666666667,28.6666666666667,250,5.22222222222222,4.33333333333333,4.55555555555556,1.66666666666667
"39",39,250,250,52.1111111111111,106.333333333333,91.5555555555556,250,24.8888888888889,194.333333333333,30.7777777777778,250,7.44444444444444,3.77777777777778,4.33333333333333,2.11111111111111
"40",40,250,250,47.7777777777778,106,96.2222222222222,250,21.8888888888889,196.222222222222,31.8888888888889,250,4.33333333333333,3,4.66666666666667,1.11111111111111
"41",41,250,250,43.4444444444444,103.777777777778,102.777777777778,250,18.7777777777778,197.777777777778,33.4444444444444,250,4.33333333333333,3.11111111111111,6.55555555555556,1.55555555555556
"42",42,250,250,39.1111111111111,103.555555555556,107.333333333333,250,16.1111111111111,198.666666666667,35.2222222222222,250,4.33333333333333,2.66666666666667,4.55555555555556,1.77777777777778
"43",43,250,250,34.1111111111111,102,113.888888888889,250,14,198.222222222222,37.7777777777778,250,5,2.11111111111111,6.55555555555555,2.55555555555556
"44",44,250,250,29.3333333333333,100.888888888889,119.777777777778,250,11.5555555555556,199.111111111111,39.3333333333333,250,4.77777777777778,2.44444444444444,5.88888888888889,1.55555555555556
"45",45,250,250,26.5555555555556,100,123.444444444444,250,10,198.777777777778,41.2222222222222,250,2.77777777777778,1.55555555555556,3.66666666666667,1.88888888888889
"46",46,250,250,24,97.8888888888889,128.111111111111,250,9,197.777777777778,43.2222222222222,250,2.55555555555556,1,4.66666666666667,2
"47",47,250,250,21.7777777777778,95.5555555555556,132.666666666667,250,7.44444444444444,197.777777777778,44.7777777777778,250,2.22222222222222,1.55555555555556,4.55555555555556,1.55555555555556
"48",48,250,250,19.5555555555556,93.7777777777778,136.666666666667,250,6.44444444444445,197,46.5555555555556,250,2.22222222222222,1,4,1.77777777777778
"49",49,250,250,17.4444444444444,91.7777777777778,140.777777777778,250,5.55555555555556,195.333333333333,49.1111111111111,250,2.11111111111111,0.888888888888889,4.11111111111111,2.55555555555556
"50",50,250,250,15.7777777777778,87.3333333333333,146.888888888889,250,4.44444444444445,195.222222222222,50.3333333333333,250,1.66666666666667,1.11111111111111,6.11111111111111,1.22222222222222
"51",51,250,250,14,84.4444444444445,151.555555555556,250,3.44444444444444,194.777777777778,51.7777777777778,250,1.77777777777778,1,4.66666666666667,1.44444444444444
"52",52,250,250,12.1111111111111,81.6666666666667,156.222222222222,250,2.77777777777778,193.666666666667,53.5555555555556,250,1.88888888888889,0.666666666666667,4.66666666666667,1.77777777777778
"53",53,250,250,10.2222222222222,79.7777777777778,160,250,2.33333333333333,192.666666666667,55,250,1.88888888888889,0.444444444444444,3.77777777777778,1.44444444444444
"54",54,250,250,9.77777777777778,76.6666666666667,163.555555555556,250,2.11111111111111,190.666666666667,57.2222222222222,250,0.444444444444444,0.222222222222222,3.55555555555556,2.22222222222222
"55",55,250,250,9,73,168,250,1.88888888888889,188.555555555556,59.5555555555556,250,0.777777777777778,0.222222222222222,4.44444444444444,2.33333333333333
"56",56,250,250,8.66666666666667,70.3333333333333,171,250,1.55555555555556,187.111111111111,61.3333333333333,250,0.333333333333333,0.333333333333333,3,1.77777777777778
"57",57,250,250,8.11111111111111,66.7777777777778,175.111111111111,250,1.33333333333333,185.777777777778,62.8888888888889,250,0.555555555555555,0.222222222222222,4.11111111111111,1.55555555555556
"58",58,250,250,7.44444444444444,64.4444444444444,178.111111111111,250,1.22222222222222,183.888888888889,64.8888888888889,250,0.666666666666667,0.111111111111111,3,2
